StudNo,StudentName,Birthday,Degree,Major,UnitsEarned
2017-50451,Edith Tregenna,1994-10-08,BS Mathematics,Hotels/Resorts,121
2017-50452,Drucy Doerren,1999-10-18,BA Sociology,Major Chemicals,109
2017-50453,Geri Feaver,2001-08-24,BS Applied Physics,Major Banks,75
2017-50454,Florance Goodier,1994-05-26,BS Industrial Engineering,Oil & Gas Production,49
2017-50455,Emmy Lowell,2001-05-26,BS Mathematics,Precious Metals,122
2017-50456,Abdel Gomar,2006-02-01,BS Statistics,Real Estate Investment Trusts,147
2017-50457,Florrie Payton,2008-01-17,BS Mathematics,Farming/Seeds/Milling,32
2017-50458,Andee Marriner,2007-02-16,BS Chemical Engineering,Precious Metals,76
2017-50459,Helli Neames,1998-06-21,BS Chemical Engineering,Finance: Consumer Services,7
2017-50460,Norine Gethins,2007-06-20,BS Statistics,Metal Fabrications,75
2017-50461,Ferrell Capenor,1996-08-21,BS Mathematics,Newspapers/Magazines,78
2017-50462,Ivory Horning,1997-11-29,BS Chemical Engineering,Business Services,24
2017-50463,Tatiania Hinzer,2005-09-09,BA Communication Arts,n/a,60
2017-50464,Monah Philipot,1997-04-26,BS Chemistry,"Computer Software: Programming, Data Processing",125
2017-50465,Malia Idney,1996-10-16,BS Applied Physics,Precious Metals,30
2017-50466,Mohandis Farrall,1992-12-02,BS Chemical Engineering,Professional Services,109
2017-50467,Alfredo Minchinden,1997-02-13,BS Chemical Engineering,Marine Transportation,58
2017-50468,Donovan Halesworth,1995-06-28,BS Applied Physics,Industrial Machinery/Components,106
2017-50469,Joye Jossum,2010-07-09,BS Mathematics,Professional Services,104
2017-50470,Brennen Brodest,2003-01-21,BS Industrial Engineering,Semiconductors,30
2017-50471,Aurel Darlasson,1995-01-02,BS Applied Physics,Power Generation,64
2017-50472,Lila Briiginshaw,1997-03-11,BS Statistics,Agricultural Chemicals,120
2017-50473,Richy Collisson,1994-08-21,BS Industrial Engineering,Real Estate Investment Trusts,105
2017-50474,Gerri Pickvance,2004-02-12,BS Mathematics,Environmental Services,100
2017-50475,Dreddy Millen,1998-09-13,BS Computer Engineering,Major Banks,28
2017-50476,Leonelle Stonnell,2000-02-11,BA Sociology,Computer peripheral equipment,53
2017-50477,Lynette Yurkov,2001-05-05,BS Computer Engineering,n/a,125
2017-50478,Jules Parades,1996-01-15,BS Computer Science,Clothing/Shoe/Accessory Stores,99
2017-50479,Jackie Camelia,2004-08-15,BS Computer Engineering,Advertising,106
2017-50480,Bathsheba Bellenie,2005-02-02,BS Industrial Engineering,Oil Refining/Marketing,4
2017-50481,Addie Ballentime,2007-10-06,BS Chemical Engineering,Savings Institutions,110
2017-50482,Giustina Sharphouse,1998-11-21,BS Computer Engineering,Industrial Machinery/Components,106
2017-50483,Graehme Biernat,2001-04-22,BS Computer Engineering,Telecommunications Equipment,160
2017-50484,Gisela Gaffey,2005-04-13,BS Computer Engineering,n/a,47
2017-50485,Pearce Arpino,1994-05-04,BS Statistics,Telecommunications Equipment,60
2017-50486,Iorgo Goldsack,2005-02-15,BS Computer Engineering,Major Banks,71
2017-50487,Donnie Yarnton,2004-07-03,BS Computer Engineering,Computer Communications Equipment,106
2017-50488,Theresita Kelwick,1999-01-04,BS Computer Science,n/a,87
2017-50489,Buck Assender,1999-04-18,BS Applied Physics,Oil & Gas Production,65
2017-50490,Major Zorer,2000-04-20,BS Applied Physics,Clothing/Shoe/Accessory Stores,51
2017-50491,Oran Bastable,2010-05-11,BA Sociology,Engineering & Construction,118
2017-50492,Nance Kindread,1992-03-15,BS Computer Science,Specialty Chemicals,56
2017-50493,Rosalia Lissandre,2010-07-14,BA Sociology,Major Chemicals,111
2017-50494,Dorette Blodget,2003-01-03,BS Computer Engineering,Catalog/Specialty Distribution,138
2017-50495,Radcliffe Cleal,1994-10-17,BA Communication Arts,Coal Mining,41
2017-50496,Roxane ffrench Beytagh,1993-02-05,BA Sociology,Home Furnishings,67
2017-50497,Bradan Buxcey,2002-03-26,BS Chemical Engineering,n/a,9
2017-50498,Fabe Filippozzi,1999-06-10,BS Computer Engineering,Semiconductors,66
2017-50499,Erick Andrich,2001-09-20,BS Mathematics,Commercial Banks,83
2017-50500,Marcelo Ugolotti,1996-01-14,BS Mathematics,Real Estate,156
2017-50501,Roderick Loudwell,2001-10-31,BS Mathematics,Major Pharmaceuticals,91
2017-50502,Les Varty,2009-01-28,BS Mathematics,n/a,91
2017-50503,Bertrando Rosewarne,2000-03-03,BS Computer Engineering,Property-Casualty Insurers,24
2017-50504,Carole Tennant,1993-05-18,BA Sociology,Oil & Gas Production,51
2017-50505,Shana Hardstaff,2006-11-20,BA Communication Arts,Biotechnology: Commercial Physical & Biological Resarch,93
2017-50506,Dareen Malletratt,2006-11-23,BS Applied Physics,Business Services,127
2017-50507,Isac Scrange,1999-04-18,BS Computer Science,n/a,19
2017-50508,Jenna Salzburger,1995-01-21,BS Statistics,Major Pharmaceuticals,2
2017-50509,Sharona Alessandone,2001-05-31,BS Mathematics,Business Services,27
2017-50510,Josias Summerly,2010-10-11,BA Communication Arts,Investment Bankers/Brokers/Service,22
2017-50511,Bordie Griniov,2008-07-28,BA Sociology,Industrial Machinery/Components,6
2017-50512,Will Birtles,2009-09-16,BS Computer Engineering,Electrical Products,23
2017-50513,Adena Houliston,1997-06-16,BS Mathematics,Major Banks,98
2017-50514,Clare Warry,2008-11-04,BS Applied Physics,Services-Misc. Amusement & Recreation,48
2017-50515,Ashli MacDunlevy,2008-07-16,BS Chemistry,n/a,45
2017-50516,Madison Patkin,1993-09-15,BS Computer Engineering,Other Specialty Stores,65
2017-50517,Liam Houseman,2003-10-22,BA Communication Arts,Power Generation,83
2017-50518,Allene Altofts,1992-02-23,BS Industrial Engineering,Electric Utilities: Central,153
2017-50519,Byrom Denyagin,1998-08-16,BS Computer Engineering,Major Banks,140
2017-50520,Regine MacNucator,2003-09-24,BS Mathematics,n/a,157
2017-50521,Scarlet Attryde,1992-06-30,BA Sociology,n/a,15
2017-50522,Delphinia Cordaroy,1994-09-30,BA Communication Arts,Real Estate Investment Trusts,116
2017-50523,Tuesday Earsman,1994-05-14,BA Communication Arts,Professional Services,48
2017-50524,Edan Salvadore,1993-09-12,BS Industrial Engineering,Biotechnology: Biological Products (No Diagnostic Substances),113
2017-50525,Levin Speller,2007-09-01,BS Computer Engineering,n/a,5
2017-50526,Staffard Maccrea,1993-05-22,BS Mathematics,n/a,9
2017-50527,Patrice Sheach,2009-04-13,BS Chemistry,Clothing/Shoe/Accessory Stores,19
2017-50528,Barbara-anne Prys,1994-04-24,BS Computer Science,Major Banks,96
2017-50529,Maryanne Coneau,1994-04-26,BA Sociology,EDP Services,20
2017-50530,Konrad Gianasi,2001-11-11,BA Communication Arts,Coal Mining,2
2017-50531,Ruprecht Sannes,1996-11-02,BS Statistics,Clothing/Shoe/Accessory Stores,47
2017-50532,Sandor Hearsum,2001-04-01,BA Sociology,Industrial Machinery/Components,3
2017-50533,Franklyn Zettoi,1998-09-15,BS Industrial Engineering,Marine Transportation,22
2017-50534,Lilly Leffek,2007-03-25,BS Mathematics,Hotels/Resorts,96
2017-50535,Charmion Wilber,1998-06-14,BS Applied Physics,Semiconductors,128
2017-50536,Gabbey Darkins,1996-05-31,BA Sociology,Oil & Gas Production,75
2017-50537,Lucius Glitherow,2009-02-09,BS Computer Science,Major Pharmaceuticals,109
2017-50689,Scotti Kuban,2006-05-15,BA Sociology,Major Chemicals,64
2017-50538,Wally Amberger,2009-10-08,BS Industrial Engineering,Packaged Foods,23
2017-50539,Bentlee Risdale,2002-04-23,BS Statistics,n/a,140
2017-50540,Olive Albarez,1992-03-04,BA Communication Arts,Medical Electronics,89
2017-50541,Lara Linch,2001-01-29,BS Mathematics,Semiconductors,95
2017-50542,Jennica Devin,1994-03-13,BS Computer Science,Biotechnology: Biological Products (No Diagnostic Substances),142
2017-50543,Emmalynne Rubertelli,1998-05-14,BA Sociology,Marine Transportation,151
2017-50544,Naoma Chainey,2003-12-04,BS Chemical Engineering,Oil & Gas Production,35
2017-50545,Joan Maryan,1997-08-16,BA Sociology,Major Banks,149
2017-50546,Whitney Bultitude,1999-12-27,BS Mathematics,Aerospace,109
2017-50547,Filip Kid,2005-12-18,BS Applied Physics,n/a,91
2017-50548,Townie Besson,2005-07-03,BS Applied Physics,n/a,43
2017-50549,Brocky Evreux,1997-06-18,BA Communication Arts,n/a,37
2017-50550,Benji D'Onisi,1997-12-25,BS Mathematics,Food Chains,31
2017-50551,Hewitt McAster,2004-01-12,BS Industrial Engineering,n/a,124
2017-50552,Raquel Sager,2006-08-07,BS Computer Science,Home Furnishings,145
2017-50553,Enrique Deeney,1993-10-14,BS Mathematics,Finance/Investors Services,59
2017-50554,Claybourne Bartrop,2007-05-12,BA Sociology,Biotechnology: Electromedical & Electrotherapeutic Apparatus,84
2017-50555,Skelly Coughtrey,1998-03-30,BS Computer Engineering,Electric Utilities: Central,26
2017-50556,Kylen Pettitt,2003-05-30,BS Chemical Engineering,n/a,144
2017-50557,Conrade Welden,2009-07-17,BS Statistics,n/a,10
2017-50558,Vinnie Pfaffel,2005-12-02,BS Statistics,Biotechnology: Commercial Physical & Biological Resarch,9
2017-50559,Hayley Father,1998-03-30,BS Chemistry,Railroads,3
2017-50560,Ricki Pashbee,2005-02-28,BS Mathematics,Oil & Gas Production,54
2017-50561,Catherine Reed,2003-01-19,BS Mathematics,n/a,108
2017-50562,Kiele Vanni,1995-02-02,BS Computer Engineering,Computer Software: Prepackaged Software,106
2017-50563,Junia Jakubovsky,2005-02-02,BS Applied Physics,Major Pharmaceuticals,51
2017-50564,Demetris Hearnaman,1992-12-04,BA Sociology,n/a,154
2017-50565,Kile McCaighey,1999-11-08,BA Communication Arts,Industrial Machinery/Components,61
2017-50566,Brit Jackalin,1993-05-06,BS Computer Engineering,Business Services,55
2017-50567,Lynde Garraway,2005-02-01,BS Chemical Engineering,Semiconductors,4
2017-50568,Morna Pingstone,1994-05-27,BS Chemistry,n/a,31
2017-50569,Marin Millhill,2008-01-10,BS Industrial Engineering,Finance/Investors Services,4
2017-50570,Christean Feltham,2007-07-03,BS Statistics,Oil & Gas Production,27
2017-50571,Johnny Jerrold,2002-08-13,BS Applied Physics,n/a,50
2017-50572,Elsbeth Groll,2007-03-24,BS Chemistry,Major Pharmaceuticals,112
2017-50573,Heidie McMillian,2004-10-13,BS Chemistry,Property-Casualty Insurers,143
2017-50574,Kingston Kitteridge,2009-02-21,BS Computer Engineering,Marine Transportation,91
2017-50575,Suzanne Danes,2000-12-03,BS Industrial Engineering,Telecommunications Equipment,13
2017-50576,Megan Pennacci,2001-02-02,BS Computer Science,Industrial Machinery/Components,36
2017-50577,Kikelia Eccott,1995-12-29,BS Mathematics,Oil & Gas Production,32
2017-50578,Melody Smyth,2000-06-30,BS Mathematics,Auto Manufacturing,74
2017-50579,Hildegarde Klyn,2001-08-26,BS Industrial Engineering,n/a,24
2017-50580,Hilario Ucceli,2000-07-27,BS Computer Engineering,Medical/Nursing Services,117
2017-50581,Zechariah Pimley,2006-01-28,BS Mathematics,Steel/Iron Ore,108
2017-50582,Carlene Bragge,2008-01-29,BS Industrial Engineering,Computer Software: Prepackaged Software,54
2017-50583,Darrick Ferreira,1999-07-09,BS Chemical Engineering,"Computer Software: Programming, Data Processing",112
2017-50584,Vivianna Hinrichsen,2007-04-13,BA Communication Arts,Computer Software: Prepackaged Software,106
2017-50585,Gaby Tallow,2009-04-11,BS Applied Physics,n/a,4
2017-50586,Gwenora Duff,2009-10-09,BA Communication Arts,Publishing,134
2017-50587,Regina Capner,1999-03-31,BS Mathematics,Home Furnishings,127
2017-50588,Griffin Sturdy,2009-01-31,BS Mathematics,Computer Communications Equipment,140
2017-50589,Cami Culwen,2005-09-30,BS Applied Physics,Packaged Foods,60
2017-50590,Kendall Harms,1995-05-18,BS Statistics,Investment Bankers/Brokers/Service,86
2017-50591,Dniren Minor,2001-01-21,BS Industrial Engineering,n/a,68
2017-50592,Dallas Garie,2002-12-01,BA Communication Arts,n/a,98
2017-50593,Betteann Gittoes,1998-11-16,BS Computer Science,Finance: Consumer Services,93
2017-50594,Pier Witcombe,1995-12-24,BS Industrial Engineering,Biotechnology: Biological Products (No Diagnostic Substances),107
2017-50595,Deeyn Worcs,1996-03-14,BS Mathematics,Investment Managers,26
2017-50596,Sile Jorissen,2009-11-03,BS Mathematics,Computer Software: Prepackaged Software,43
2017-50597,Junette Camelin,1998-02-03,BS Computer Science,Major Banks,76
2017-50598,Maggi Taleworth,2003-10-23,BS Computer Science,Electric Utilities: Central,124
2017-50599,Griz Oliphard,1995-08-19,BS Computer Science,n/a,107
2017-50600,Noelani O'Cuddie,2002-12-08,BS Chemical Engineering,Oil/Gas Transmission,117
2017-50601,Emelina Woolford,2007-06-12,BS Mathematics,n/a,148
2017-50602,Jess Matteau,1993-01-26,BS Applied Physics,Air Freight/Delivery Services,52
2017-50603,Natalina Glendenning,1992-06-23,BA Sociology,Marine Transportation,130
2017-50604,Clarita Youthead,1993-10-16,BA Sociology,Rental/Leasing Companies,102
2017-50605,Catie Paike,2004-02-15,BS Chemical Engineering,Telecommunications Equipment,40
2017-50606,Ranice Berrey,1995-03-19,BS Chemistry,Specialty Chemicals,6
2017-50607,Aldo Mullaly,2010-07-07,BS Mathematics,n/a,152
2017-50608,Hayley Garvey,2000-10-09,BS Chemical Engineering,Oil & Gas Production,77
2017-50609,Michaeline D' Angelo,1995-10-23,BS Computer Engineering,Biotechnology: Electromedical & Electrotherapeutic Apparatus,141
2017-50610,Sigfried Tredgold,1995-09-01,BS Chemical Engineering,Construction/Ag Equipment/Trucks,131
2017-50611,Hasheem Gabbidon,1992-12-18,BS Applied Physics,Food Distributors,152
2017-50612,Cass Tow,1995-03-08,BA Sociology,n/a,12
2017-50842,Dasha Vallack,2008-11-11,BA Sociology,Oil & Gas Production,26
2017-50613,Alastair Mattin,2006-01-06,BS Industrial Engineering,Other Consumer Services,12
2017-50614,Katy Fritchley,1995-10-21,BS Computer Science,Department/Specialty Retail Stores,23
2017-50615,Oralla Gaul,2009-06-21,BS Statistics,Catalog/Specialty Distribution,139
2017-50616,Britni Hinnerk,2002-10-11,BS Applied Physics,Medical/Nursing Services,107
2017-50617,Fielding Barthelet,1993-09-18,BS Statistics,Oil & Gas Production,63
2017-50618,Orbadiah Cowitz,2002-08-19,BS Computer Science,Major Pharmaceuticals,49
2017-50619,Rachelle Bussens,1997-06-29,BS Applied Physics,Apparel,73
2017-50620,Tommy Grishunin,1999-08-12,BS Industrial Engineering,Biotechnology: Biological Products (No Diagnostic Substances),147
2017-50621,Kassie Kiendl,2008-11-19,BS Industrial Engineering,Medical/Nursing Services,98
2017-50622,Urbano Rowell,1992-06-16,BS Statistics,Major Pharmaceuticals,44
2017-50623,Warner Trounce,2003-08-20,BA Communication Arts,Biotechnology: Biological Products (No Diagnostic Substances),47
2017-50624,Rozelle Ibeson,1997-06-23,BS Computer Science,Major Pharmaceuticals,94
2017-50625,Adler Gunthorpe,1998-06-29,BS Mathematics,Automotive Aftermarket,156
2017-50626,Rudolph Harpur,2007-05-27,BS Statistics,Hotels/Resorts,152
2017-50627,Serge Lamblin,1993-07-14,BS Industrial Engineering,Consumer: Greeting Cards,64
2017-50628,Tabbie Steuhlmeyer,2001-08-20,BS Applied Physics,n/a,133
2017-50629,Huntlee Dollman,2002-05-24,BS Applied Physics,Mining & Quarrying of Nonmetallic Minerals (No Fuels),122
2017-50630,Rodney Giggie,1995-08-30,BS Computer Science,Medical/Dental Instruments,91
2017-50631,Consalve Elleton,1993-11-23,BS Computer Science,Semiconductors,78
2017-50632,Mercedes Fairn,1993-03-17,BS Applied Physics,Major Pharmaceuticals,137
2017-50633,Quentin Render,1997-05-24,BS Mathematics,EDP Services,100
2017-50634,Sandi Whiteford,2002-01-06,BS Chemistry,Major Pharmaceuticals,30
2017-50635,Fredi Arent,2010-11-14,BS Mathematics,n/a,119
2017-50636,Philippine Regorz,2010-04-18,BS Industrial Engineering,EDP Services,103
2017-50637,Olvan Levins,2001-06-18,BS Computer Engineering,n/a,32
2017-50638,Donnie Vakhlov,2002-05-14,BS Chemical Engineering,Computer Software: Prepackaged Software,106
2017-50639,Berkie Duchan,2003-07-30,BS Industrial Engineering,Industrial Machinery/Components,3
2017-50640,Burl Burhill,2007-05-06,BS Mathematics,Apparel,115
2017-50641,Arlen Marchington,2008-07-24,BS Computer Science,Steel/Iron Ore,153
2017-50642,Minda Ackhurst,1995-08-17,BS Industrial Engineering,Biotechnology: Commercial Physical & Biological Resarch,119
2017-50643,Fallon Downing,1993-10-10,BS Mathematics,Computer Communications Equipment,79
2017-50644,Richardo Harmant,1995-03-25,BS Chemical Engineering,EDP Services,24
2017-50645,Celene Bizley,2007-12-24,BS Mathematics,Major Pharmaceuticals,102
2017-50646,Annette Thewys,2007-12-23,BS Industrial Engineering,Major Banks,65
2017-50647,Ramsey Smither,1993-02-26,BS Mathematics,Property-Casualty Insurers,106
2017-50648,Patty Kiellor,2003-08-19,BS Chemistry,Life Insurance,90
2017-50649,Loella Skarr,2002-10-23,BS Mathematics,n/a,26
2017-50650,Kari Bengough,2003-06-09,BS Chemistry,Telecommunications Equipment,97
2017-50651,Jeanna Every,2000-04-06,BS Industrial Engineering,Industrial Machinery/Components,72
2017-50652,Maddalena De la Yglesia,2008-12-06,BS Computer Science,Banks,118
2017-50653,Granny Dytham,2001-12-14,BA Sociology,n/a,30
2017-50654,Salomon Jutson,2004-09-02,BS Applied Physics,n/a,104
2017-50655,Barret Hearle,1998-12-19,BS Mathematics,Major Banks,102
2017-50656,Blinny Shipton,1992-05-15,BS Mathematics,Home Furnishings,73
2017-50657,Calida Palk,2007-04-18,BS Chemical Engineering,Power Generation,96
2017-50658,Cory Malim,1996-06-12,BS Computer Engineering,n/a,107
2017-50659,Roana Packwood,2005-04-02,BS Chemical Engineering,n/a,11
2017-50660,Shannah Farndell,2008-06-21,BA Sociology,n/a,5
2017-50661,Hugh D'Oyly,2009-10-04,BS Chemical Engineering,Computer Software: Prepackaged Software,123
2017-50662,Trina Freeman,2008-07-26,BS Statistics,Marine Transportation,93
2017-50663,Shaine Gorry,2006-07-09,BS Computer Science,Major Pharmaceuticals,14
2017-50664,Eal Couves,1993-09-26,BS Statistics,Telecommunications Equipment,39
2017-50665,Cassius Girt,2003-08-04,BA Communication Arts,Major Banks,93
2017-50666,Gib Culbard,1995-12-14,BS Applied Physics,Mining & Quarrying of Nonmetallic Minerals (No Fuels),64
2017-50667,Davon Sate,2005-04-16,BS Applied Physics,n/a,44
2017-50668,Bren Goadbie,2006-03-30,BS Industrial Engineering,Apparel,120
2017-50669,Delphine Oultram,1994-12-18,BS Industrial Engineering,Property-Casualty Insurers,37
2017-50670,Koralle Thripp,2005-07-28,BS Statistics,Major Banks,43
2017-50671,Peggi Jobin,1996-08-31,BS Chemical Engineering,Natural Gas Distribution,86
2017-50672,Sophia Cuttings,1998-12-03,BA Sociology,Major Chemicals,120
2017-50673,Florie Corpes,1994-02-13,BS Applied Physics,n/a,39
2017-50674,Elianora Loudian,2010-02-04,BS Chemical Engineering,Air Freight/Delivery Services,27
2017-50675,Dion Bordessa,2005-11-23,BS Mathematics,Finance: Consumer Services,114
2017-50676,Marielle Persehouse,2006-03-15,BS Applied Physics,n/a,132
2017-50677,Jen Padillo,2000-03-20,BS Applied Physics,Medical/Dental Instruments,77
2017-50678,Susette Brewers,2006-02-23,BA Sociology,Medical/Dental Instruments,77
2017-50679,Deanne Thon,2007-02-24,BS Mathematics,Agricultural Chemicals,138
2017-50680,Hephzibah Falla,2002-06-27,BS Mathematics,Industrial Machinery/Components,34
2017-50681,Kristan Slowley,1998-09-10,BS Computer Science,n/a,142
2017-50682,Ardis Hamberstone,1997-02-26,BS Industrial Engineering,Oil & Gas Production,75
2017-50683,Jennica Pollicote,1995-04-06,BA Sociology,Paper,114
